scheme_id,country_code,country_name,scheme_name,operator,regulator,maturity,status,launch_year,transaction_limit_usd,iso_standard,region,p2p_supported,p2b_supported,b2b_supported,avg_daily_txn_millions,uptime_pct_ytd,api_access,interop_count,last_updated,edge_case_flag,edge_case_note,data_classification,synthetic_version,do_not_use_in_prod
b6da214b-d2ea-4c1d-ae9f-15e441423bfa,TZ,Tanzania,TIPS,Bank of Tanzania,Bank of Tanzania,Emerging,Live,2020,600,ISO 20022,Africa,True,False,False,302.34,99.979,Closed,7,2025-05-25T11:38:04,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
0926d8f0-ffc3-4da1-b352-4d157510f579,RW,Rwanda,RwandaRapide,NBR,National Bank of Rwanda,Emerging,Live,2018,500,Domestic,Africa,True,True,False,99.23,99.104,Regulated,4,2025-05-01T17:02:18,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
4e8b2e23-ebeb-46a4-934b-538d013daa47,DE,Germany,SEPA Instant (DE),Bundesbank,BaFin,Growing,Live,2017,110000,ISO 20022,Europe,True,True,True,334.07,99.803,Regulated,6,2025-05-08T01:45:34,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
942f1b9b-7975-45a6-80cd-78299c59cbc3,FR,France,Virement Instantane,Banque de France,Banque de France,Growing,Live,2018,110000,ISO 20022,Europe,True,True,True,430.32,99.408,Regulated,0,2025-05-28T07:25:48,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
48cc5a48-87d2-4e85-8da7-01a543aebaab,ES,Spain,Bizum,AEB,Banco de Espana,Pioneer,Live,2016,1000,ISO 20022,Europe,True,True,False,1.15,99.376,Closed,2,2025-05-15T09:00:47,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
546174f9-b753-4f88-92d0-f43d201c2f01,PL,Poland,Express Elixir,KIR,NBP,Pioneer,Live,2012,25000,ISO 20022,Europe,True,True,False,132.32,99.858,Regulated,7,2025-05-14T07:19:21,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
eb8d4ffa-ab5b-4aaa-8ae1-c42f59de6ad7,SE,Sweden,Swish,Bankgirot,Riksbank,Pioneer,Live,2012,48000,ISO 20022,Europe,True,True,False,384.05,99.839,Closed,4,2025-05-25T00:58:54,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
77fc7ef4-4a26-488f-8670-7266df122d85,NO,Norway,Vipps,Vipps AS,Norges Bank,Pioneer,Live,2015,45000,ISO 20022,Europe,True,True,False,403.29,99.167,Open,0,2025-05-18T14:36:25,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
fc4cd0a4-212e-4733-9ace-d6a9bf2017db,NL,Netherlands,iDEAL 2.0,Currence,DNB,Pioneer,Live,2005,110000,ISO 20022,Europe,True,True,False,313.39,99.733,Closed,4,2025-05-25T20:04:10,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
efa9c3ac-c731-40db-9357-05a6a02d0072,HK,Hong Kong,FPS,HKICL,HKMA,Growing,Live,2018,128000,ISO 20022,Asia-Pacific,True,True,False,197.63,99.802,Regulated,7,2025-05-21T19:03:52,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
38ab0f09-fd9e-4744-a973-d2e7c0beceaa,RU,Russia,SBP,NSPK,Bank of Russia,Growing,Live,2019,11000,ISO 20022,Europe,True,True,False,450.93,99.872,Closed,6,2025-05-18T06:14:49,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
51e82168-e741-4fac-a311-43996d13bd35,EG,Egypt,InstaPay EG,EBC,Central Bank of Egypt,Emerging,Live,2022,1000,ISO 20022,Africa,True,False,False,180.24,99.285,Regulated,6,2025-05-26T08:23:03,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
3f9dbf21-7fa5-4a01-ba05-f536f0d35972,TR,Turkey,FAST,BKM,TCMB,Growing,Live,2021,3300,ISO 20022,Europe,True,True,False,313.11,99.915,Closed,2,2025-05-29T06:44:31,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
7f7f8d26-ab3f-4321-a70b-a3c1489db522,CL,Chile,TEF,Banco Central Chile,Banco Central Chile,Emerging,Live,2019,5000,ISO 20022,Latin America,True,False,False,261.83,99.202,Regulated,1,2025-05-21T03:14:00,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
dbfd74d7-0f02-4bda-9e42-093f5e3ed31e,CO,Colombia,Transfiya,ACH Colombia,Banco de la Republica,Emerging,Live,2020,1300,ISO 20022,Latin America,True,False,False,285.02,99.574,Closed,0,2025-05-13T13:33:44,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
913faeb2-7131-48d2-8686-ab1cefef4fcd,AR,Argentina,Transferencias 3.0,BCRA,BCRA,Emerging,Live,2021,800,ISO 20022,Latin America,True,True,False,83.41,99.623,Open,6,2025-05-30T22:38:28,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
2a9ba24f-c7f0-47de-8223-e9bff0c4e370,VN,Vietnam,NAPAS 247,NAPAS,State Bank of Vietnam,Emerging,Live,2017,8600,ISO 8583,Asia-Pacific,True,True,False,115.36,99.772,Open,7,2025-05-30T01:10:34,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
27b9b1db-fad1-4e64-ba25-8ba4952c25be,BD,Bangladesh,bKash,bKash Ltd,Bangladesh Bank,Emerging,Live,2011,600,Proprietary,Asia-Pacific,True,True,False,115.19,99.268,Regulated,2,2025-05-23T15:17:37,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
0e4b7001-4379-4119-8a1e-32b23f38d786,ET,Ethiopia,EthSwitch,EthSwitch,National Bank of Ethiopia,Emerging,Live,2021,350,ISO 8583,Africa,True,False,False,35.79,99.918,Closed,2,2025-05-09T12:18:08,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
8e7c8a7f-6973-4f46-9a1f-a5458c7bb53e,LK,Sri Lanka,LankaPay,LankaClear,Central Bank of Sri Lanka,Emerging,Live,2015,2000,ISO 8583,Asia-Pacific,True,True,False,267.71,99.762,Open,2,2025-05-05T19:50:26,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
645f3383-3618-4458-a059-f2a3666e14e6,KH,Cambodia,FAST KH,NBC,National Bank of Cambodia,Emerging,Live,2016,1000,ISO 8583,Asia-Pacific,True,False,False,43.71,99.776,Closed,6,2025-05-26T12:04:10,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
6a436922-47bc-4cf6-bc12-f55d42a2c48e,VE,VenePago (Synthetic),VenePago,BCV,Banco Central de Venezuela,Emerging,Live,2020,800,ISO 20022,Middle East,True,True,False,38.66,99.724,Limited,1,2025-04-22T18:12:53,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
7716062c-a716-468c-a3aa-75045765e167,EC,PagoMovil (Synthetic),PagoMovil EC,BCE,Banco Central del Ecuador,Emerging,Pilot,2022,500,ISO 20022,Middle East,True,True,True,0,,Limited,0,2025-05-01T05:31:14,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
ab25339f-673e-4839-ad95-c323585ed1e5,PY,Vaquita (Synthetic),Vaquita Pay,BCP,Banco Central del Paraguay,Emerging,In Development,,300,ISO 20022,Europe,True,True,True,0,,Limited,2,2025-04-29T13:22:58,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
af673045-17c5-4094-b784-c5d1707654af,UY,Cobro (Synthetic),Cobro Express,BCU,Banco Central del Uruguay,Emerging,Live,2019,2000,ISO 20022,Europe,True,False,True,6.65,97.528,Closed,4,2025-04-24T14:52:29,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
422c45e4-efff-4b4c-ab87-0139dccc2858,CR,SINPE (Synthetic),SINPE Movil,BCCR,Banco Central de Costa Rica,Emerging,Live,2015,5000,ISO 20022,Europe,True,True,False,8.21,99.202,Closed,2,2025-05-27T11:07:43,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
b1cbb41b-f731-4e1e-8bbc-65b2de1afae1,PA,Yappy (Synthetic),Yappy,Superintendencia,Superintendencia de Panama,Emerging,Live,2018,1000,ISO 20022,Middle East,True,True,True,38.19,99.838,Limited,3,2025-03-27T01:02:11,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
79fbb625-20f6-41c6-a763-d300ff01216b,DO,ACH (Synthetic),ACH RD,BCRD,Banco Central Dominicano,Emerging,Live,2016,3000,ISO 20022,Middle East,True,False,True,10.62,99.113,Regulated,4,2025-05-19T10:59:24,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
818cbf23-0d17-4068-a97a-1a2465a6c370,JM,Lynk (Synthetic),Lynk,BOJ,Bank of Jamaica,Emerging,Live,2021,500,ISO 20022,Africa,True,True,True,31.47,97.653,Closed,1,2025-03-18T10:51:00,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
d61ce997-42a1-4bd5-9008-07b7fc7e7fb7,TT,TTFS (Synthetic),TTFS,CBTT,Central Bank of T&T,Emerging,Live,2014,2000,ISO 20022,Europe,True,False,False,3.71,98.965,Closed,3,2025-05-15T08:01:21,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
ba15fdfd-6d36-4d3f-9889-a4db8cfe9313,GY,GuyanaPay (Synthetic),GuyanaPay,BSRB,Bank of Guyana,Emerging,In Development,,200,ISO 8583,Middle East,True,True,True,0,,Limited,1,2025-05-19T10:20:48,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
4b882a91-e59c-4b94-8585-a0a491bbee21,IL,ZAHAV (Synthetic),ZAHAV,BOI,Bank of Israel,Growing,Live,2007,50000,ISO 20022,Africa,True,True,False,36.91,98.119,Closed,1,2025-03-09T07:16:09,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
27940eb9-0ace-4906-8de1-3e01138312b2,JO,JoPACC (Synthetic),JoPACC,CBJ,Central Bank of Jordan,Emerging,Live,2018,3000,ISO 20022,Middle East,True,True,True,12.03,98.065,Limited,3,2025-03-25T06:55:45,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
4c053467-ae80-4651-9c93-ef1a05145308,LB,BDL (Synthetic),BDL Fast,BDL,Banque du Liban,Emerging,Suspended,2019,500,ISO 8583,Middle East,True,False,False,0,,Regulated,0,2025-03-12T23:57:33,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
8e363522-5b6c-46c8-b3ba-1244b10ad400,IQ,IBDP (Synthetic),IBDP,CBI,Central Bank of Iraq,Emerging,Pilot,2023,1000,ISO 8583,Africa,True,True,False,0,,Regulated,2,2025-03-07T15:59:24,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
ba87ef16-439b-4382-88c0-8b55d94c1350,IR,SATNA (Synthetic),SATNA,CBI,Central Bank of Iran,Emerging,Live,2011,10000,Domestic,Africa,True,False,True,7.97,98.469,Closed,4,2025-04-28T17:31:57,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
23ad2721-1fc3-42f5-8ab6-360d4df623ca,QA,QPAY (Synthetic),QPAY,QCB,Qatar Central Bank,Emerging,Live,2020,20000,ISO 20022,Europe,True,False,True,7.07,97.695,Limited,0,2025-04-16T13:03:36,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
31398747-e0c5-4211-8b2b-04314581f875,KW,KNET (Synthetic),KNET,CBK,Central Bank of Kuwait,Emerging,Live,2015,15000,ISO 20022,Africa,True,True,True,1.46,98.028,Closed,4,2025-04-29T21:19:00,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
bbcd0911-7cce-4e19-8fda-1849993af4f3,BH,BENEFIT (Synthetic),BENEFIT,CBB,Central Bank of Bahrain,Emerging,Live,2008,10000,ISO 20022,Latin America,True,True,False,24.86,98.89,Limited,4,2025-03-10T15:39:15,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
81e46063-d69f-4f87-945e-ccce9f78471c,OM,Mpaisa (Synthetic),Mpaisa,CBO,Central Bank of Oman,Emerging,Live,2017,8000,ISO 20022,Europe,True,False,True,3.23,97.583,Closed,2,2025-03-13T20:42:04,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
90b35c80-699d-415f-967e-93f471cdd244,YE,YemenPay (Synthetic),YemenPay,CBY,Central Bank of Yemen,Emerging,In Development,,200,ISO 8583,Middle East,True,True,True,0,,Limited,3,2025-03-26T23:21:13,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
0db7494d-436f-42ed-949c-b91983f8f9dd,NP,ConnectIPS (Synthetic),ConnectIPS,NRB,Nepal Rastra Bank,Emerging,Live,2018,1500,ISO 8583,Latin America,True,True,True,14.12,99.404,Limited,3,2025-04-20T07:44:22,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
f76cefe1-19c0-4ce8-a603-7f29633c0624,MV,Faisaa (Synthetic),Faisaa,MMA,Maldives Monetary Authority,Emerging,Live,2020,3000,ISO 8583,Europe,True,False,False,38.76,97.67,Closed,3,2025-03-30T13:21:55,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
0a52b78c-4e9f-4011-bf01-dfcb485370dd,BT,RMA (Synthetic),RMA Pay,RMA,Royal Monetary Authority,Emerging,Pilot,2022,500,ISO 8583,Europe,True,True,True,0,,Limited,1,2025-04-07T02:17:23,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
14777c14-8a11-4847-9cb0-6807bcf23224,MN,MonPay (Synthetic),MonPay,BOM,Bank of Mongolia,Emerging,Live,2017,2000,ISO 8583,Europe,True,True,False,10.91,99.163,Open,0,2025-04-06T14:48:07,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
a50db922-80af-4455-a6fc-78b89fd37ada,KG,ElKart (Synthetic),ElKart,NBKR,National Bank of Kyrgyzstan,Emerging,Live,2016,1000,ISO 8583,Asia-Pacific,True,True,False,5.24,99.596,Limited,3,2025-03-12T20:55:43,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
9ec804ea-66bc-47d7-8b4d-c0168b5f9b70,TJ,Vasl (Synthetic),Vasl,NBT,National Bank of Tajikistan,Emerging,Pilot,2023,500,ISO 8583,Asia-Pacific,True,False,True,0,,Closed,0,2025-05-27T00:21:07,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
75d3e80d-03bf-40cd-927a-410328923006,TM,TurkmenPay (Synthetic),TurkmenPay,CBT,Central Bank of Turkmenistan,Emerging,Live,2019,1500,Domestic,Latin America,True,False,True,44.42,98.988,Regulated,4,2025-04-22T09:43:28,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
d868781a-f937-4938-ad52-a14adbe9c493,AZ,PAŞA (Synthetic),PAŞA Pay,CBA,Central Bank of Azerbaijan,Emerging,Live,2018,3000,ISO 20022,Africa,True,False,False,7.46,98.32,Regulated,4,2025-05-02T04:37:22,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
4a2cf8f5-8bc4-4baf-92aa-5f0b46dd1926,GE,SPACE (Synthetic),SPACE,NBG,National Bank of Georgia,Emerging,Live,2019,4000,ISO 20022,Africa,True,False,True,28.65,98.341,Limited,4,2025-05-21T23:32:55,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
34261003-ffae-4d32-b2d1-66cd94c413e5,AM,ArmPay (Synthetic),ArmPay,CBA AM,Central Bank of Armenia,Emerging,Live,2020,2000,ISO 20022,Europe,True,True,True,9.76,99.824,Regulated,2,2025-05-07T20:50:14,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c53cc112-b638-468b-9c39-c6dfdb9d3288,BY,ERIP (Synthetic),ERIP,NBRB,National Bank of Belarus,Emerging,Live,2014,3000,ISO 20022,Asia-Pacific,True,True,True,4.46,97.778,Open,1,2025-04-23T11:38:28,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
829956a4-1556-4fd1-8dbf-0ff4ea26b44d,MD,MPay (Synthetic),MPay,NBM,National Bank of Moldova,Emerging,Live,2012,1500,ISO 20022,Asia-Pacific,True,False,False,10.92,97.825,Closed,4,2025-03-06T16:05:47,LIMIT_CHANGE_TRANSITION,Transaction limit recently changed — old and new values both valid during transition,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
4d952089-78e6-4953-9d07-caf5545adb72,AL,AIPS (Synthetic),AIPS,BOA,Bank of Albania,Emerging,Live,2021,2000,ISO 20022,Middle East,True,False,False,48.03,99.003,Regulated,4,2025-03-24T14:58:59,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
15006868-aa93-44c5-9c7d-036a3576ad13,MK,KIBS (Synthetic),KIBS,NBRM,National Bank of N. Macedonia,Emerging,Live,2015,1500,ISO 20022,Asia-Pacific,True,True,True,21.81,97.67,Closed,4,2025-04-24T12:48:25,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
03ee7736-b3bd-4e8c-97cc-6b16ac37108b,BA,BH (Synthetic),BH Pay,CBBH,Central Bank of B&H,Emerging,Pilot,2023,1000,ISO 20022,Europe,True,False,True,0,,Closed,3,2025-05-06T03:49:58,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
458e00d2-34e1-4497-8dbb-522103cbd019,RS,IPS (Synthetic),IPS,NBS,National Bank of Serbia,Emerging,Live,2018,5000,ISO 20022,Europe,True,False,False,21.44,98.855,Limited,2,2025-03-17T03:06:01,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
a2c29586-4c22-4905-bbdc-0ee91447ba3f,ME,MePay (Synthetic),MePay,CBCG,Central Bank of Montenegro,Emerging,Pilot,2024,500,ISO 20022,Europe,True,True,False,0,,Regulated,0,2025-04-28T02:53:02,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
921b607a-d495-4de2-a772-9379298f9850,XK,KosPay (Synthetic),KosPay,CBK KS,Central Bank of Kosovo,Emerging,Suspended,,300,ISO 20022,Asia-Pacific,True,True,True,0,,Closed,2,2025-04-09T19:51:18,SCHEME_SUSPENDED,Scheme status set to Suspended — tests UI handling of inactive schemes,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c3f55be7-7b03-487c-8c99-b0a499de9a7e,HR,HRK (Synthetic),HRK Instant,HNB,Hrvatska narodna banka,Growing,Live,2020,15000,ISO 20022,Africa,True,False,True,27.41,98.832,Regulated,1,2025-04-09T07:24:52,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
